time,junctionId,approachId,travelTimeSec,freeFlowTravelTimeSec,delaySec,usualDelaySec,stops,queueLengthMeters,volumePerHour,isClosed,stopsHistogram,junctionId
2024-10-27T00:00:14.572Z,6707bbe0aec0196d08c03b8c,1308596447,208,24,184,35,0.5,141.72,722,false,"0,2;1,2",6707bbe0aec0196d08c03b8c
2024-10-27T00:00:14.572Z,6707bbe0aec0196d08c03b8c,500370719,38,24,14,1,0.09,432.37,6131,false,"0,32;1,3",6707bbe0aec0196d08c03b8c
2024-10-27T00:00:14.572Z,6707bbe0aec0196d08c03b8c,-458711495,30,34,0,0,0.0,0.0,8,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:00:14.572Z,6707bbe0aec0196d08c03b8c,-1922686271,36,27,9,6,0.0,0.0,3,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:00:14.572Z,6707bbe0aec0196d08c03b8c,-1360511885,49,38,11,0,0.35,0.05,3689,false,"0,18;1,7;2,1",6707bbe0aec0196d08c03b8c
2024-10-27T00:00:14.572Z,6707bbe0aec0196d08c03b8c,-33268468,198,51,147,37,0.0,8.67,393,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:00:14.572Z,6707bbe0aec0196d08c03b8c,-2087339978,38,37,1,0,0.0,0.0,391,false,"0,2",6707bbe0aec0196d08c03b8c
2024-10-27T00:00:14.572Z,6707bbe0aec0196d08c03b8c,669297184,28,38,0,0,0.06,8.61,2920,false,"0,15;1,1",6707bbe0aec0196d08c03b8c
2024-10-27T00:00:14.572Z,6707bbe0aec0196d08c03b8c,-305213544,24,23,1,0,0.0,0.0,5,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:00:14.572Z,6707bbe0aec0196d08c03b8c,1501651498,28,43,0,2,0.55,3.11,3380,false,"0,9;1,11",6707bbe0aec0196d08c03b8c
2024-10-27T00:00:14.572Z,6707bbe0aec0196d08c03b8c,226085798,47,63,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:00:14.572Z,6707bbe0aec0196d08c03b8c,-2103684616,15,16,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:00:14.572Z,6707bbe0aec0196d08c03b8c,-324329938,134,134,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:00:14.572Z,6707bbe0aec0196d08c03b8c,753717782,39,43,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:00:14.572Z,6707bbe0aec0196d08c03b8c,-272021652,36,55,0,0,0.0,0.0,388,false,"0,2",6707bbe0aec0196d08c03b8c
2024-10-27T00:00:14.572Z,6707bbe0aec0196d08c03b8c,-1810716315,56,36,20,0,0.17,448.13,3665,false,"0,20;1,4",6707bbe0aec0196d08c03b8c
2024-10-27T00:00:14.572Z,6707bbe0aec0196d08c03b8c,311016654,53,53,0,6,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:00:14.572Z,6707bbe0aec0196d08c03b8c,446261593,36,27,9,8,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:00:14.572Z,6707bbe0aec0196d08c03b8c,274576406,47,43,4,5,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:00:14.572Z,6707bbe0aec0196d08c03b8c,594893820,56,52,4,12,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:00:14.572Z,6707bbe0aec0196d08c03b8c,1162903151,45,44,1,1,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:01:04.651Z,6707bbe0aec0196d08c03b8c,1308596447,208,24,184,35,0.5,56.63,754,false,"0,2;1,2",6707bbe0aec0196d08c03b8c
2024-10-27T00:01:04.651Z,6707bbe0aec0196d08c03b8c,500370719,37,24,13,1,0.08,172.76,5985,false,"0,33;1,3",6707bbe0aec0196d08c03b8c
2024-10-27T00:01:04.651Z,6707bbe0aec0196d08c03b8c,-458711495,30,34,0,0,0.0,0.0,3,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:01:04.651Z,6707bbe0aec0196d08c03b8c,-1922686271,35,27,8,5,0.0,0.0,1,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:01:04.651Z,6707bbe0aec0196d08c03b8c,-1360511885,43,38,5,0,0.22,0.02,2987,false,"0,19;1,3;2,1",6707bbe0aec0196d08c03b8c
2024-10-27T00:01:04.651Z,6707bbe0aec0196d08c03b8c,-33268468,198,51,147,37,0.0,3.47,390,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:01:04.651Z,6707bbe0aec0196d08c03b8c,-2087339978,38,37,1,0,0.0,0.0,389,false,"0,2",6707bbe0aec0196d08c03b8c
2024-10-27T00:01:04.651Z,6707bbe0aec0196d08c03b8c,669297184,28,38,0,0,0.06,3.44,3028,false,"0,15;1,1",6707bbe0aec0196d08c03b8c
2024-10-27T00:01:04.651Z,6707bbe0aec0196d08c03b8c,-305213544,23,23,0,0,0.0,0.0,2,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:01:04.651Z,6707bbe0aec0196d08c03b8c,1501651498,32,43,0,2,0.57,35.89,2631,false,"0,10;1,13",6707bbe0aec0196d08c03b8c
2024-10-27T00:01:04.651Z,6707bbe0aec0196d08c03b8c,226085798,47,63,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:01:04.651Z,6707bbe0aec0196d08c03b8c,-2103684616,15,16,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:01:04.651Z,6707bbe0aec0196d08c03b8c,-324329938,134,134,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:01:04.651Z,6707bbe0aec0196d08c03b8c,753717782,39,43,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:01:04.651Z,6707bbe0aec0196d08c03b8c,-272021652,36,55,0,0,0.0,0.0,388,false,"0,2",6707bbe0aec0196d08c03b8c
2024-10-27T00:01:04.651Z,6707bbe0aec0196d08c03b8c,-1810716315,56,36,20,0,0.16,179.06,3604,false,"0,21;1,4",6707bbe0aec0196d08c03b8c
2024-10-27T00:01:04.651Z,6707bbe0aec0196d08c03b8c,311016654,53,53,0,6,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:01:04.651Z,6707bbe0aec0196d08c03b8c,446261593,36,27,9,8,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:01:04.651Z,6707bbe0aec0196d08c03b8c,274576406,47,43,4,5,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:01:04.651Z,6707bbe0aec0196d08c03b8c,594893820,56,52,4,12,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:01:04.651Z,6707bbe0aec0196d08c03b8c,1162903151,45,44,1,1,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:02:04.245Z,6707bbe0aec0196d08c03b8c,1308596447,208,24,184,35,0.5,22.63,695,false,"0,2;1,2",6707bbe0aec0196d08c03b8c
2024-10-27T00:02:04.245Z,6707bbe0aec0196d08c03b8c,500370719,37,24,13,1,0.08,69.03,5766,false,"0,35;1,3",6707bbe0aec0196d08c03b8c
2024-10-27T00:02:04.245Z,6707bbe0aec0196d08c03b8c,-458711495,30,34,0,0,0.0,0.0,1,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:02:04.245Z,6707bbe0aec0196d08c03b8c,-1922686271,35,27,8,5,0.0,0.0,1,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:02:04.245Z,6707bbe0aec0196d08c03b8c,-1360511885,44,38,6,0,0.33,51.73,2680,false,"0,19;1,3;3,1;2,1",6707bbe0aec0196d08c03b8c
2024-10-27T00:02:04.245Z,6707bbe0aec0196d08c03b8c,-33268468,200,51,149,37,0.0,1.39,389,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:02:04.245Z,6707bbe0aec0196d08c03b8c,-2087339978,38,37,1,0,0.0,0.0,388,false,"0,2",6707bbe0aec0196d08c03b8c
2024-10-27T00:02:04.245Z,6707bbe0aec0196d08c03b8c,669297184,27,38,0,0,0.06,1.37,2374,false,"0,16;1,1",6707bbe0aec0196d08c03b8c
2024-10-27T00:02:04.245Z,6707bbe0aec0196d08c03b8c,-305213544,23,23,0,0,0.0,0.0,1,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:02:04.245Z,6707bbe0aec0196d08c03b8c,1501651498,27,43,0,2,0.54,26.95,2564,false,"0,12;1,14",6707bbe0aec0196d08c03b8c
2024-10-27T00:02:04.245Z,6707bbe0aec0196d08c03b8c,226085798,46,63,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:02:04.245Z,6707bbe0aec0196d08c03b8c,-2103684616,15,16,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:02:04.245Z,6707bbe0aec0196d08c03b8c,-324329938,134,134,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:02:04.245Z,6707bbe0aec0196d08c03b8c,753717782,38,43,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:02:04.245Z,6707bbe0aec0196d08c03b8c,-272021652,38,55,0,0,0.0,0.0,388,false,"0,2",6707bbe0aec0196d08c03b8c
2024-10-27T00:02:04.245Z,6707bbe0aec0196d08c03b8c,-1810716315,59,36,23,0,0.18,71.55,3534,false,"0,18;1,4",6707bbe0aec0196d08c03b8c
2024-10-27T00:02:04.245Z,6707bbe0aec0196d08c03b8c,311016654,53,53,0,6,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:02:04.245Z,6707bbe0aec0196d08c03b8c,446261593,29,27,2,8,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:02:04.245Z,6707bbe0aec0196d08c03b8c,274576406,47,43,4,5,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:02:04.245Z,6707bbe0aec0196d08c03b8c,594893820,56,52,4,12,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:02:04.245Z,6707bbe0aec0196d08c03b8c,1162903151,45,44,1,1,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:03:04.395Z,6707bbe0aec0196d08c03b8c,1308596447,208,24,184,35,0.5,9.04,627,false,"0,2;1,2",6707bbe0aec0196d08c03b8c
2024-10-27T00:03:04.395Z,6707bbe0aec0196d08c03b8c,500370719,37,24,13,1,0.06,27.58,5257,false,"0,33;1,2",6707bbe0aec0196d08c03b8c
2024-10-27T00:03:04.395Z,6707bbe0aec0196d08c03b8c,-458711495,30,34,0,0,0.0,0.0,1,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:03:04.395Z,6707bbe0aec0196d08c03b8c,-1922686271,35,27,8,5,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:03:04.395Z,6707bbe0aec0196d08c03b8c,-1360511885,44,38,6,0,0.36,105.08,2396,false,"0,19;1,4;3,1;2,1",6707bbe0aec0196d08c03b8c
2024-10-27T00:03:04.395Z,6707bbe0aec0196d08c03b8c,-33268468,200,51,149,37,0.0,0.55,388,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:03:04.395Z,6707bbe0aec0196d08c03b8c,-2087339978,38,37,1,0,0.0,0.0,388,false,"0,2",6707bbe0aec0196d08c03b8c
2024-10-27T00:03:04.395Z,6707bbe0aec0196d08c03b8c,669297184,27,38,0,0,0.06,0.55,2112,false,"0,16;1,1",6707bbe0aec0196d08c03b8c
2024-10-27T00:03:04.395Z,6707bbe0aec0196d08c03b8c,-305213544,23,23,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:03:04.395Z,6707bbe0aec0196d08c03b8c,1501651498,27,43,0,2,0.5,23.38,2518,false,"0,12;1,12",6707bbe0aec0196d08c03b8c
2024-10-27T00:03:04.395Z,6707bbe0aec0196d08c03b8c,226085798,46,63,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:03:04.395Z,6707bbe0aec0196d08c03b8c,-2103684616,16,16,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:03:04.395Z,6707bbe0aec0196d08c03b8c,-324329938,134,134,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:03:04.395Z,6707bbe0aec0196d08c03b8c,753717782,38,43,0,0,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:03:04.395Z,6707bbe0aec0196d08c03b8c,-272021652,39,55,0,0,0.0,0.0,388,false,"0,2",6707bbe0aec0196d08c03b8c
2024-10-27T00:03:04.395Z,6707bbe0aec0196d08c03b8c,-1810716315,59,36,23,0,0.18,28.59,3578,false,"0,18;1,4",6707bbe0aec0196d08c03b8c
2024-10-27T00:03:04.395Z,6707bbe0aec0196d08c03b8c,311016654,53,53,0,6,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:03:04.395Z,6707bbe0aec0196d08c03b8c,446261593,29,27,2,8,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:03:04.395Z,6707bbe0aec0196d08c03b8c,274576406,47,43,4,5,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
2024-10-27T00:03:04.395Z,6707bbe0aec0196d08c03b8c,594893820,56,52,4,11,0.0,0.0,0,false,,6707bbe0aec0196d08c03b8c
