time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),rain (mm),wind_speed_10m (km/h)
2024-10-10T00:00,7.4,80,4.9,0.00,7.7
2024-10-10T01:00,5.8,88,3.2,0.00,7.6
2024-10-10T02:00,5.8,88,3.4,0.00,7.2
2024-10-10T03:00,8.3,74,5.5,0.00,9.1
2024-10-10T04:00,11.1,58,8.5,0.00,7.0
2024-10-10T05:00,13.8,44,10.8,0.00,7.7
2024-10-10T06:00,15.7,37,12.7,0.00,7.5
2024-10-10T07:00,17.6,33,14.4,0.00,8.7
2024-10-10T08:00,18.8,30,15.5,0.00,9.7
2024-10-10T09:00,19.5,29,15.9,0.00,11.1
2024-10-10T10:00,19.8,24,15.7,0.00,11.9
2024-10-10T11:00,18.2,29,15.1,0.00,6.3
2024-10-10T12:00,15.6,35,12.4,0.00,7.0
2024-10-10T13:00,15.1,35,11.6,0.00,8.6
2024-10-10T14:00,13.4,41,10.1,0.00,8.0
2024-10-10T15:00,11.8,46,8.7,0.00,7.1
2024-10-10T16:00,11.3,48,7.8,0.00,10.2
2024-10-10T17:00,10.6,54,7.4,0.00,9.6
2024-10-10T18:00,10.3,60,7.2,0.00,9.7
2024-10-10T19:00,9.9,66,6.7,0.00,11.8
2024-10-10T20:00,9.3,70,6.2,0.00,12.0
2024-10-10T21:00,8.5,73,5.4,0.00,11.6
2024-10-10T22:00,8.9,69,5.8,0.00,10.9
2024-10-10T23:00,8.5,68,5.0,0.00,13.0
2024-10-11T00:00,8.0,66,4.6,0.00,10.8
2024-10-11T01:00,6.8,74,3.4,0.20,12.2
2024-10-11T02:00,6.0,87,2.4,2.30,14.8
2024-10-11T03:00,5.9,89,1.8,1.20,18.7
2024-10-11T04:00,5.1,93,1.2,0.90,17.2
2024-10-11T05:00,5.5,91,2.7,0.30,9.6
2024-10-11T06:00,6.1,88,2.1,0.00,17.7
2024-10-11T07:00,6.8,83,2.6,0.00,19.0
2024-10-11T08:00,7.3,76,2.9,0.00,19.7
2024-10-11T09:00,6.4,76,1.6,0.10,21.5
2024-10-11T10:00,5.7,79,0.5,0.40,23.9
2024-10-11T11:00,5.1,80,-0.5,0.30,26.1
2024-10-11T12:00,3.8,88,-2.0,0.50,27.7
2024-10-11T13:00,3.8,91,-1.4,0.40,23.6
2024-10-11T14:00,3.3,91,-1.9,0.00,22.9
2024-10-11T15:00,2.5,93,-2.3,0.50,20.6
